hotel_name,check_in,check_out,price,data_id,official_site_div_content,input_hotel_name
"Taj Kumarakom Resort & Spa, Kerala","Sun, May 19","Mon, May 20","₹17,110",75,"Taj Kumarakom Resort & Spa, Kerala-Official Site-Free cancellation until May 5-·-Total per night-Nightly price with taxes + fees-Stay total with taxes + fees-₹17,110-Visit site",taj kumarakom
"The Taj Mahal Palace, Mumbai","Sun, Apr 7","Mon, Apr 8","₹31,860",75,"The Taj Mahal Palace, Mumbai-Official Site-Free cancellation until Apr 5-·-Total per night-Nightly price with taxes + fees-Stay total with taxes + fees-₹31,860-Visit site",taj mahal palace mumbai
